City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Pljevlja,ME,43.3333,19.3333,31.46,76,1,4.03,clear sky
207,Paamiut,GL,61.994,-49.6678,26.17,39,0,9.71,clear sky
208,Velikiy Ustyug,RU,60.7644,46.3106,27.97,85,65,7.09,broken clouds
209,Tessalit,ML,20.1986,1.0114,82.35,23,61,11.36,broken clouds
210,Chimbote,PE,-9.0853,-78.5783,61.9,88,19,9.24,few clouds
211,Iquitos,PE,-3.7481,-73.2472,80.64,78,40,3.44,scattered clouds
212,Dingle,PH,10.9995,122.6711,84.63,75,82,2.15,broken clouds
213,San Cristobal,VE,7.7669,-72.225,71.78,96,88,1.97,overcast clouds
214,Bronnoysund,NO,65.4625,12.1997,48.2,93,90,16.11,overcast clouds
215,Sekoma,BW,-24.4,23.8833,66.29,67,46,17.63,scattered clouds
216,Lugovoy,KZ,42.9472,72.7644,48.42,47,1,1.52,clear sky
217,Mbekenyera,TZ,-10.0,38.9833,75.42,76,95,3.96,overcast clouds
218,Ribeira Grande,PT,38.5167,-28.7,66.13,72,15,1.14,few clouds
219,Puerto Narino,CO,-3.7703,-70.3831,75.15,81,83,2.24,broken clouds
220,Mosquera,CO,4.7059,-74.2302,55.49,94,75,3.44,broken clouds
221,Mulchen,CL,-37.7167,-72.2333,49.06,98,4,3.27,clear sky
222,La Palma,US,33.8464,-118.0467,68.95,79,1,4.0,clear sky
223,Am Timan,TD,11.0297,20.2827,77.27,66,95,5.01,overcast clouds
224,Kamina,CD,-8.7386,24.9906,63.39,96,100,3.94,overcast clouds
225,Lukulu,ZM,-14.3707,23.242,69.3,81,96,4.7,overcast clouds
226,Kaura Namoda,NG,12.5898,6.5779,77.79,20,46,7.56,scattered clouds
227,Severinia,BR,-20.8094,-48.8028,67.46,86,100,3.87,overcast clouds
228,Ribera,IT,37.4984,13.2642,63.39,92,38,3.76,scattered clouds
229,Iisalmi,FI,63.5592,27.1907,33.82,99,100,6.76,snow
230,Ouadda,CF,8.0777,22.4007,68.38,89,100,0.47,overcast clouds
231,Syracuse,IT,37.0881,15.2792,69.39,84,67,9.13,broken clouds
232,Sharan,RU,54.8167,54.0,36.45,83,99,4.21,overcast clouds
233,Fereydun Kenar,IR,36.6864,52.5225,50.31,62,0,8.1,clear sky
234,Tharad,IN,24.3961,71.6267,79.11,54,1,1.3,clear sky
235,Sundby,DK,54.864,11.793,46.06,86,5,12.91,clear sky
236,Pombia,IT,45.653,8.6336,52.43,91,0,3.44,clear sky
237,Loandjili,CG,-4.7561,11.8578,78.91,89,75,6.91,light intensity drizzle
238,Castro,BR,-24.7911,-50.0119,55.67,97,94,8.59,overcast clouds
239,Boke,GN,10.9409,-14.2967,74.35,96,100,1.61,overcast clouds
240,Stornoway,GB,58.2093,-6.3865,49.93,93,75,6.91,light rain
241,Temyasovo,RU,52.9933,58.1014,35.96,93,100,1.99,moderate rain
242,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,94,20,6.55,few clouds
243,Jinka,ET,5.65,36.65,65.25,58,47,4.34,scattered clouds
244,Calais,FR,50.9167,1.8333,57.61,87,100,14.7,overcast clouds
245,Wajir,KE,1.7471,40.0573,76.96,77,42,14.67,scattered clouds
246,Iracoubo,GF,5.4802,-53.2011,78.4,89,100,10.51,overcast clouds
247,Collingwood,CA,44.4834,-80.2164,48.33,91,99,2.3,overcast clouds
248,Kontagora,NG,10.3999,5.4695,72.27,83,76,3.8,broken clouds
249,Korla,CN,41.7597,86.1469,49.35,34,0,4.47,clear sky
250,Shakawe,BW,-18.3667,21.85,69.37,70,47,4.18,scattered clouds
251,Warri,NG,5.5167,5.75,75.78,88,99,2.86,overcast clouds
252,Ugep,NG,5.8086,8.0812,74.01,97,100,3.09,overcast clouds
253,Buzmeyin,TM,38.0507,58.2056,49.73,66,90,4.61,overcast clouds
254,Udayagiri,IN,20.1333,84.3833,71.46,65,58,2.77,broken clouds
255,Sao Filipe,CV,14.8961,-24.4956,77.77,70,64,7.65,broken clouds
256,San-Pedro,CI,4.7485,-6.6363,75.9,90,96,6.13,light rain
257,Colares,PT,38.7992,-9.4469,61.32,76,99,5.01,overcast clouds
258,Bom Jesus Da Lapa,BR,-13.255,-43.4181,76.33,79,100,7.49,overcast clouds
259,Joao Pinheiro,BR,-17.7425,-46.1725,69.67,86,95,3.22,overcast clouds
260,Hamilton,US,39.1834,-84.5333,71.01,79,1,1.01,clear sky
261,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.08,82,11,7.14,few clouds
262,Benguela,AO,-12.5763,13.4055,73.56,76,100,3.58,light rain
263,Mwinilunga,ZM,-11.7358,24.4293,61.12,96,100,2.98,overcast clouds
264,Bereda,ES,43.2686,-7.5406,51.15,100,77,2.19,broken clouds
265,Young,UY,-32.6833,-57.6333,63.23,48,0,9.48,clear sky
266,Hofn,IS,64.2539,-15.2082,41.36,79,100,17.56,overcast clouds
267,Halifax,CA,44.6453,-63.5724,46.45,76,4,1.01,clear sky
